modality,contrast,roi,window,start_ms,end_ms,n_subjects,mean_difference,median_difference,std_difference,sem_difference,ci95_low,ci95_high,n_positive,n_negative,positive_pct,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,p_sign,effect_size_dz,p_fdr_ttest,p_fdr_wilcoxon
ear_strict_sens,emotional_vs_neutral,ear_left,W1,80.0,130.0,11,0.8181044622311036,0.5450852856499282,1.8014255744656509,0.5431502471139087,-0.3921097058177536,2.0283186302799607,8,3,72.72727272727273,1.5062212832972013,0.16292821735728782,16.0,0.1474609375,0.2265625,0.45414280435858384,0.6229608310719829,0.5324978298611112
ear_strict_sens,emotional_vs_neutral,ear_left,W2,130.0,220.0,11,0.5025461367698573,-0.03558671689364318,1.9100220461263386,0.5758933153007236,-0.7806241336385794,1.785716407178294,5,6,45.45454545454545,0.872637558759359,0.40332742796888654,27.0,0.6376953125,1.0,0.26311012367059156,0.6956861021679364,0.8428276909722222
ear_strict_sens,emotional_vs_neutral,ear_left,W3,220.0,320.0,11,0.6661367856323852,0.3821719862017885,2.1013517780814017,0.6335814000401978,-0.7455705476795196,2.0778441189442898,8,3,72.72727272727273,1.0513831144508374,0.3178257589567998,22.0,0.365234375,0.2265625,0.31700393650442876,0.6866681236912675,0.7658140120967742
ear_strict_sens,emotional_vs_neutral,ear_left,W4,320.0,600.0,11,0.8919897951775205,0.5561388266733372,2.065959970164728,0.6229103684482036,-0.4959409980537167,2.279920588408758,7,4,63.63636363636363,1.4319713402742817,0.18265812222786382,16.0,0.1474609375,0.548828125,0.43175560420292086,0.6595987747117305,0.5324978298611112
ear_strict_sens,emotional_vs_neutral,ear_left,W5,600.0,800.0,11,0.3731561478637374,0.24184116554094492,1.9116279207775708,0.57637750472604,-0.9110929638149573,1.6574052595424322,6,5,54.54545454545455,0.6474162242697233,0.5319430668598903,28.0,0.7001953125,1.0,0.19520333628102324,0.7238391264861731,0.8428276909722222
ear_strict_sens,emotional_vs_neutral,ear_mastoid,W1,80.0,130.0,11,0.6316866180741588,-0.21440055025266958,1.9852418928096849,0.5985729524131526,-0.7020170329329468,1.9653902690812646,5,6,45.45454545454545,1.0553210189794044,0.3161077115139199,33.0,1.0,1.0,0.3181912593936559,0.6866681236912675,1.0
ear_strict_sens,emotional_vs_neutral,ear_mastoid,W2,130.0,220.0,11,0.3311103705062001,-0.40079074112035373,2.800357361036611,0.8443395132243864,-1.5501953031582192,2.2124160441706193,4,7,36.36363636363637,0.3921531153288645,0.7031729297275473,22.0,0.365234375,0.548828125,0.11823861308316475,0.788038628142941,0.7658140120967742
ear_strict_sens,emotional_vs_neutral,ear_mastoid,W3,220.0,320.0,11,0.5600324898073714,-0.12088315159122229,3.638129615740795,1.0969373521901895,-1.884096242779137,3.00416122239388,4,7,36.36363636363637,0.5105419089697217,0.6207518885342813,29.0,0.7646484375,0.548828125,0.15393417743675902,0.7394223789462869,0.8643851902173914
ear_strict_sens,emotional_vs_neutral,ear_mastoid,W4,320.0,600.0,11,1.1211447106107366,0.18040037348667992,4.033599299108475,1.216175948162121,-1.5886641703145825,3.8309535915360557,6,5,54.54545454545455,0.9218606175405826,0.3783055920768986,32.0,0.9658203125,1.0,0.2779514343079486,0.6956861021679364,0.9809112548828125
ear_strict_sens,emotional_vs_neutral,ear_mastoid,W5,600.0,800.0,11,0.9599844838008685,-0.0546334153316449,4.2746914186269205,1.2888679572852306,-1.9117922868790407,3.831761254480778,5,6,45.45454545454545,0.7448276438052691,0.47351701914093514,32.0,0.9658203125,1.0,0.22457398436241427,0.7238391264861731,0.9809112548828125
